title,label,descrizione,upload_hour,likes,dislikes,comments
How to Cook Pasta in 10 Minutes,legit,Learn how to cook delicious pasta in just 10 minutes. No experience needed!,11.0,75062.0,3921.0,4058.0
FREE iPhone Giveaway! Just Click Now!!!,scam,Claim your free iPhone now! Visit http://scam-website.com for more details.,5.0,48642.0,7218.0,2533.0
Win a Brand New Tesla - Enter Now!,scam,Your chance to win a Tesla! Visit: http://tesla-giveaway.com,16.0,48875.0,184.0,4377.0
Discover the Secrets of Success!,legit,Explore proven strategies for achieving personal and professional success.,11.0,69215.0,,2236.0
WARNING: Your Account is Compromised!,scam,Secure your account now at http://security-alert.com,8.0,18429.0,2465.0,6657.0
Learn Python Programming - Beginner to Advanced,legit,Master Python with our step-by-step guide. Start coding today!,2.0,,3272.0,1685.0
yNF#l0R~jY>w@?A;QEW'zH=^O_nW0]:Px^`^5[,scam,Discover the secret formula to wealth! More info at http://fakeprofits.net,19.0,41788.0,6256.0,3750.0
5 Easy Exercises for a Healthier Life(!{\|,legit,Quick and effective exercises to boost your health and fitness.,5.0,70379.0,2798.0,5236.0
Click Here to Claim Your Reward!,scam,Your exclusive prize is waiting. Claim it here: http://reward-link.com,20.0,32391.0,7758.0,3214.0
Shocking Discovery That Banks Don’t Want You to Know!,scam,Learn the truth now: http://bank-secrets.com,2.0,77413.0,1088.0,
Your Computer is at Risk! Fix It Now!,scam,Fix your system vulnerabilities at http://quickfix.com,1.0,78848.0,3764.0,892.0
Top 10 Travel Destinations for 2024,legit,Explore the most beautiful travel spots for 2024. Plan your trip now!,6.0,59009.0,7765.0,2915.0
Your Account Will Be Deleted in 24 Hours!,scam,Immediate action required! Secure your account at http://urgentfix.net,4.0,22118.0,2166.0,396.0
10 Facts You Didn't Know About Space,legit,Learn amazing facts about space and the universe.,1.0,70107.0,534.0,
Act Fast - Only 1 Spot Left!,scam,Don't lose your chance! Register now at http://exclusive-offer.com,4.0,17363.0,6083.0,7089.0
Become a Python Expert in 30 Days,legit,Intensive Python course designed to make you an expert in one month.,21.0,42239.0,376.0,132.0
Immediate Action Required to Secure Your Funds!,scam,Protect your funds now! Follow the link: http://safe-bank.com,15.0,34339.0,6396.0,4231.0
New AI Technology That Changes Everything!,legit,Explore groundbreaking AI innovations changing the world.,11.0,36181.0,9127.0,818.0
Congratulations! You've Won a $1000 Gift Card!,scam,Claim your $1000 gift card at http://prizezone.net,22.0,,6211.0,5304.0
Get a Brand New Laptop for FREE!,scam,Claim your free laptop here: http://free-laptop.org,12.0,27839.0,4497.0,6742.0
Understanding Machine Learning Algorithms,legit,Discover the basics of ML algorithms and how they work.,4.0,11453.0,3471.0,8603.0
Win a Free Gift Card - Limited Time Only!,scam,Don't miss out! Click now: http://freeswag.com,18.0,87491.0,6287.0,2655.0
Master the Art of Public Speaking,legit,Enhance your public speaking skills with proven techniques.,4.0,67740.0,2831.0,2547.0
Your Credit Score is in Danger! Click Now!,scam,Fix your credit score immediately at http://credit-fix.net,,94966.0,8451.0,
Exclusive Offer: Double Your Money Instantly!,scam,Double your savings instantly! Click here: http://fast-doubles.com,18.0,98514.0,806.0,1566.0
Tips for a Successful Job Interview,legit,Practical advice for excelling in your next job interview.,10.0,98147.0,3.0,2413.0
You've Won! Click to Claim Your Reward!,scam,Claim your prize now at http://you-win.com,16.0,71879.0,7661.0,3409.0
DIY: Build a Treehouse in Your Backyard,legit,Step-by-step instructions for building a treehouse. Fun for the family!,9.0,31393.0,2699.0,3611.0
"Instant Approval for $5,000 Loan!",scam,Get instant loan approval at http://loan-fast.net,11.0,3402.0,442.0,
Claim Your Reward Before Midnight!,scam,Your reward expires soon! Visit http://midnight-prize.net,9.0,26029.0,25.0,7464.0
Explore the Hidden Wonders of the World,legit,Embark on a journey to discover the world's hidden treasures.,8.0,33478.0,1956.0,339.0
Last Chance to Claim Your Prize!,scam,Don't let this chance slip away! Visit http://finalchance.net,13.0,24008.0,4982.0,5669.0
Unlock the Secret to Instant Wealth!,scam,Financial freedom starts here: http://wealth-secret.net,19.0,5608684.0,919545.0,177.0
Watch This Video Before It Gets Removed!,scam,Hurry before it's too late! Watch now at http://hidden-video.net,23.0,,6421.0,6884.0
Upgrade Your Skills with This Tutorial,legit,Boost your professional skills with this comprehensive tutorial.,15.0,34917.0,1227.0,7018.0
Earn Money While You Sleep!,scam,Passive income secrets revealed here: http://moneydream.net,8.0,6360.0,7498.0,8472.0
Understanding Blockchain Technology,legit,Learn the fundamentals of blockchain and its applications.,,52138.0,9616.0,734.0
"Earn $10,000 in 1 Day GUARANTEED!!!",scam,Make thousands overnight! Act now at http://quick-rich.com,23.0,56581.0,7019.0,4369.0
WIN BIG - No Purchase Required!,scam,Enter to win now! Visit http://win-big.com,9.0,7448.0,4964.0,3872.0
Secret Investment Opportunity Revealed!,scam,Exclusive deals await. Click here: http://invest-secrets.com,19.0,3816082.0,806179.0,8676.0
Hurry! Limited Time Offer Ends Soon!,scam,Act now before the offer expires: http://final-offer.com,15.0,571.0,8075.0,7877.0
How to Save Money Efficiently,legit,Simple tips to improve your financial habits and save money.,11.0,73650.0,9440.0,2748.0
Free Money? Click to Find Out!,scam,Get your free bonus now! Learn more: http://free-cash.info,4.0,54489.0,6596.0,
You Have Been Selected for a Special Reward!,scam,Visit now to claim your reward: http://exclusive-reward.com,11.0,44311.0,5837.0,7445.0
Secret Formula for Quick Money Revealed!,scam,Start earning today: http://quick-money.net,7.0,7569.0,4963.0,6238.0
Shocking Discovery That Banks Don’t Want You to Know!,scam,Learn the truth now: http://bank-secrets.com,16.0,,2097.0,3434.0
Top 5 Coding Languages to Learn in 2024,legit,Discover the most in-demand programming languages for 2024.,0.0,44023.0,6870.0,2292.0
Exclusive Crypto Trading Secrets Revealed!,scam,Discover the top strategies for crypto trading success at http://crypto-secrets.net,19.0,37690.0,7928.0,3717.0
Upgrade Your Skills with This Tutorial,legit,Boost your skills with this detailed step-by-step guide.,9.0,50070.0,1478.0,8139.0
How to Save Money Efficiently,legit,Practical tips to help you manage and save your finances effectively.,9.0,96483.0,1454.0,2294.0
Earn Passive Income with Zero Investment!,scam,Start earning passive income today without any initial investment! Learn more at http://passive-wealth.net,6.0,67390.0,,3111.0
Win a FREE Holiday Package! Limited Time Only!,scam,"Claim your holiday package now! Hurry, limited time offer: http://freeholiday.net",14.0,37448.0,2495.0,9549.0
Healthy Recipes for Busy People,legit,Quick and healthy recipes tailored for your busy schedule.,10.0,63744.0,4596.0,7025.0
Understanding Cryptocurrency Basics,legit,Learn the essentials of cryptocurrency and how to start investing.,6.0,64866.0,1249.0,9215.0
Act Now: Your Prize is Waiting!,scam,Your exclusive reward is ready! Claim now at http://exclusive-reward.com,6.0,73100.0,4022.0,2474.0
Double Your Investment Overnight with This Secret!,scam,Unlock the secret formula to doubling your investments instantly.,,12944.0,3818.0,66.0
Improve Your Mental Health with These Tips,legit,Simple and effective tips to boost your mental well-being.,13.0,79683.0,1688.0,
Master the Art of Public Speaking,legit,Overcome stage fright and master the art of confident speaking.,13.0,82972.0,4603.0,9573.0
WARNING: Unauthorized Login Detected!,scam,Immediate action required! Secure your account now at http://secure-login.com,11.0,24661.0,2324.0,8805.0
Top 10 Cities to Visit This Summer,legit,Explore the most beautiful cities for your summer vacation.,1.0,50695.0,3718.0,4534.0
