title,label,descrizione
"How to Cook Pasta in 10 Minutes",legit,"Learn how to cook delicious pasta in just 10 minutes. No experience needed!"
"FREE iPhone Giveaway! Just Click Now!!!",scam,"Claim your free iPhone now! Visit http://scam-website.com for more details."
"Win a Brand New Tesla - Enter Now!",scam,"Your chance to win a Tesla! Visit: http://tesla-giveaway.com"
"Discover the Secrets of Success!",legit,"Explore proven strategies for achieving personal and professional success."
"WARNING: Your Account is Compromised!",scam,"Secure your account now at http://security-alert.com"
"Learn Python Programming - Beginner to Advanced",legit,"Master Python with our step-by-step guide. Start coding today!"
"Get Rich Quick with This Simple Trick!",scam,"Discover the secret formula to wealth! More info at http://fakeprofits.net"
"5 Easy Exercises for a Healthier Life",legit,"Quick and effective exercises to boost your health and fitness."
"Click Here to Claim Your Reward!",scam,"Your exclusive prize is waiting. Claim it here: http://reward-link.com"
"Shocking Discovery That Banks Don’t Want You to Know!",scam,"Learn the truth now: http://bank-secrets.com"
"Your Computer is at Risk! Fix It Now!",scam,"Fix your system vulnerabilities at http://quickfix.com"
"Top 10 Travel Destinations for 2024",legit,"Explore the most beautiful travel spots for 2024. Plan your trip now!"
"Your Account Will Be Deleted in 24 Hours!",scam,"Immediate action required! Secure your account at http://urgentfix.net"
"10 Facts You Didn't Know About Space",legit,"Learn amazing facts about space and the universe."
"Act Fast - Only 1 Spot Left!",scam,"Don't lose your chance! Register now at http://exclusive-offer.com"
"Become a Python Expert in 30 Days",legit,"Intensive Python course designed to make you an expert in one month."
"Immediate Action Required to Secure Your Funds!",scam,"Protect your funds now! Follow the link: http://safe-bank.com"
"New AI Technology That Changes Everything!",legit,"Explore groundbreaking AI innovations changing the world."
"Congratulations! You've Won a $1000 Gift Card!",scam,"Claim your $1000 gift card at http://prizezone.net"
"Get a Brand New Laptop for FREE!",scam,"Claim your free laptop here: http://free-laptop.org"
"Understanding Machine Learning Algorithms",legit,"Discover the basics of ML algorithms and how they work."
"Win a Free Gift Card - Limited Time Only!",scam,"Don't miss out! Click now: http://freeswag.com"
"Master the Art of Public Speaking",legit,"Enhance your public speaking skills with proven techniques."
"Your Credit Score is in Danger! Click Now!",scam,"Fix your credit score immediately at http://credit-fix.net"
"Exclusive Offer: Double Your Money Instantly!",scam,"Double your savings instantly! Click here: http://fast-doubles.com"
