title,label,description,upload_hour,likes,dislikes,comments
How to Cook Pasta in 10 Minutes,legit,Learn how to cook delicious pasta in just 10 minutes. No experience needed!,20.0,29187.0,2101.0,4003.0
FREE iPhone Giveaway! Just Click Now!!!,scam,Claim your free iPhone now! Visit http://scam-website.com for more details.,11.0,99399.0,9827.0,965.0
Win a Brand New Tesla - Enter Now!,scam,Your chance to win a Tesla! Visit: http://tesla-giveaway.com,11.0,38331.0,3574.0,824.0
Discover the Secrets of Success!,legit,Explore proven strategies for achieving personal and professional success.,10.0,11243.0,801.0,8093.0
WARNING: Your Account is Compromised!,scam,Secure your account now at http://security-alert.com,21.0,47063.0,5698.0,5594.0
Learn Python Programming - Beginner to Advanced,legit,Master Python with our step-by-step guide. Start coding today!,0.0,36959.0,8379.0,7953.0
Get Rich Quick with This Simple Trick!,scam,Discover the secret formula to wealth! More info at http://fakeprofits.net,15.0,4666280.0,727310.0,1901.0
5 Easy Exercises for a Healthier Life,legit,Quick and effective exercises to boost your health and fitness.,,49933.0,3630.0,100.0
Click Here to Claim Your Reward!,scam,Your exclusive prize is waiting. Claim it here: http://reward-link.com,19.0,67550.0,1317.0,8486.0
Shocking Discovery That Banks Don’t Want You to Know!,scam,Learn the truth now: http://bank-secrets.com,15.0,53616.0,2958.0,5028.0
Your Computer is at Risk! Fix It Now!,scam,Fix your system vulnerabilities at http://quickfix.com,2.0,12119.0,3144.0,
Top 10 Travel Destinations for 2024,legit,Explore the most beautiful travel spots for 2024. Plan your trip now!,19.0,3045804.0,536687.0,588.0
Your Account Will Be Deleted in 24 Hours!,scam,Immediate action required! Secure your account at http://urgentfix.net,22.0,22941.0,4162.0,2983.0
10 Facts You Didn't Know About Space,legit,Learn amazing facts about space and the universe.,4.0,99983.0,7338.0,4874.0
###ERROR###,scam,Don't lose your chance! Register now at http://exclusive-offer.com,12.0,39817.0,9534.0,1862.0
Become a Python Expert in 30 Days,legit,Intensive Python course designed to make you an expert in one month.,19.0,38801.0,491.0,4827.0
Immediate Action Required to Secure Your Funds!,scam,Protect your funds now! Follow the link: http://safe-bank.com,10.0,87361.0,8806.0,2084.0
New AI Technology That Changes Everything!,legit,Explore groundbreaking AI innovations changing the world.,8.0,6611.0,214.0,5200.0
Congratulations! You've Won a $1000 Gift Card!,scam,Claim your $1000 gift card at http://prizezone.net,16.0,13257.0,3977.0,7572.0
Get a Brand New Laptop for FREE!,scam,Claim your free laptop here: http://free-laptop.org,13.0,9984.0,6628.0,5855.0
Understanding Machine Learning Algorithms,legit,Discover the basics of ML algorithms and how they work.,8.0,43485.0,3385.0,9585.0
Win a Free Gift Card - Limited Time Only!,scam,Don't miss out! Click now: http://freeswag.com,15.0,30821.0,2548.0,3645.0
Master the Art of Public Speaking,legit,Enhance your public speaking skills with proven techniques.,4.0,2271.0,4982.0,6777.0
Your Credit Score is in Danger! Click Now!,scam,Fix your credit score immediately at http://credit-fix.net,2.0,36694.0,3409.0,7696.0
Exclusive Offer: Double Your Money Instantly!,scam,Double your savings instantly! Click here: http://fast-doubles.com,14.0,18646.0,9629.0,9096.0
Tips for a Successful Job Interview,legit,Practical advice for excelling in your next job interview.,18.0,93214.0,2674.0,9366.0
You've Won! Click to Claim Your Reward!,scam,Claim your prize now at http://you-win.com,21.0,9895591.0,575631.0,1774.0
DIY: Build a Treehouse in Your Backyard,legit,Step-by-step instructions for building a treehouse. Fun for the family!,10.0,25501.0,5352.0,7215.0
"Instant Approval for $5,000 Loan!",scam,Get instant loan approval at http://loan-fast.net,19.0,64950.0,8054.0,6610.0
Claim Your Reward Before Midnight!,scam,Your reward expires soon! Visit http://midnight-prize.net,13.0,76875.0,159.0,7817.0
Explore the Hidden Wonders of the World,legit,Embark on a journey to discover the world's hidden treasures.,1.0,29927.0,8171.0,3070.0
Last Chance to Claim Your Prize!,scam,Don't let this chance slip away! Visit http://finalchance.net,6.0,17206.0,1815.0,8762.0
Unlock the Secret to Instant Wealth!,scam,Financial freedom starts here: http://wealth-secret.net,17.0,29863.0,6002.0,9889.0
Watch This Video Before It Gets Removed!,scam,Hurry before it's too late! Watch now at http://hidden-video.net,9.0,51073.0,2013.0,5650.0
Upgrade Your Skills with This Tutorial,legit,Boost your professional skills with this comprehensive tutorial.,14.0,7391.0,1099.0,5170.0
Earn Money While You Sleep!,scam,Passive income secrets revealed here: http://moneydream.net,17.0,13795.0,9803.0,686.0
Understanding Blockchain Technology,legit,Learn the fundamentals of blockchain and its applications.,16.0,89292.0,8614.0,
"Earn $10,000 in 1 Day GUARANTEED!!!",scam,Make thousands overnight! Act now at http://quick-rich.com,2.0,6613.0,4953.0,6512.0
WIN BIG - No Purchase Required!,scam,Enter to win now! Visit http://win-big.com,10.0,48504.0,1059.0,6757.0
Secret Investment Opportunity Revealed!,scam,Exclusive deals await. Click here: http://invest-secrets.com,21.0,18796.0,9364.0,9947.0
Hurry! Limited Time Offer Ends Soon!,scam,Act now before the offer expires: http://final-offer.com,17.0,4286.0,3485.0,5589.0
###ERROR###,legit,Simple tips to improve your financial habits and save money.,22.0,25414.0,2479.0,532.0
Free Money? Click to Find Out!,scam,Get your free bonus now! Learn more: http://free-cash.info,21.0,,824.0,9905.0
You Have Been Selected for a Special Reward!,scam,Visit now to claim your reward: http://exclusive-reward.com,8.0,67220.0,409.0,9471.0
Secret Formula for Quick Money Revealed!,scam,Start earning today: http://quick-money.net,16.0,39145.0,5717.0,6748.0
Shocking Discovery That Banks Don’t Want You to Know!,scam,Learn the truth now: http://bank-secrets.com,14.0,21490.0,3802.0,9072.0
Top 5 Coding Languages to Learn in 2024,legit,Discover the most in-demand programming languages for 2024.,14.0,32551.0,4724.0,1766.0
Exclusive Crypto Trading Secrets Revealed!,scam,Discover the top strategies for crypto trading success at http://crypto-secrets.net,17.0,46531.0,7172.0,
Upgrade Your Skills with This Tutorial,legit,Boost your skills with this detailed step-by-step guide.,15.0,79587.0,9696.0,7913.0
How to Save Money Efficiently,legit,Practical tips to help you manage and save your finances effectively.,11.0,34810.0,2182.0,7997.0
Earn Passive Income with Zero Investment!,scam,Start earning passive income today without any initial investment! Learn more at http://passive-wealth.net,7.0,36983.0,8692.0,7994.0
Win a FREE Holiday Package! Limited Time Only!,scam,"Claim your holiday package now! Hurry, limited time offer: http://freeholiday.net",9.0,44159.0,9297.0,6080.0
Healthy Recipes for Busy People,legit,Quick and healthy recipes tailored for your busy schedule.,2.0,17511.0,5343.0,7536.0
Understanding Cryptocurrency Basics,legit,Learn the essentials of cryptocurrency and how to start investing.,17.0,94479.0,7563.0,3679.0
Act Now: Your Prize is Waiting!,scam,Your exclusive reward is ready! Claim now at http://exclusive-reward.com,9.0,35181.0,2316.0,7176.0
Double Your Investment Overnight with This Secret!,scam,Unlock the secret formula to doubling your investments instantly.,3.0,57452.0,1218.0,9112.0
Improve Your Mental Health with These Tips,legit,Simple and effective tips to boost your mental well-being.,6.0,83142.0,4958.0,2606.0
Master the Art of Public Speaking,legit,Overcome stage fright and master the art of confident speaking.,9.0,34213.0,9737.0,1993.0
WARNING: Unauthorized Login Detected!,scam,Immediate action required! Secure your account now at http://secure-login.com,2.0,43972.0,1968.0,8658.0
Top 10 Cities to Visit This Summer,legit,Explore the most beautiful cities for your summer vacation.,,86878.0,8673.0,7975.0
Your Device is Compromised! Fix It Immediately!,scam,Protect your device from vulnerabilities at http://secure-device.net,7.0,,,7073.0
Last Chance: VIP Access to Millionaire Club!,scam,Unlock your VIP access now at http://millionaire-club.com,17.0,6070599.0,660304.0,9897.0
Understanding Blockchain Technology,legit,An in-depth look at how blockchain is revolutionizing industries.,16.0,77135.0,3549.0,1893.0
Congratulations! You've Been Selected for a Special Gift!,scam,Claim your exclusive gift now at http://special-gift.net,16.0,48557.0,9304.0,1807.0
Understanding Renewable Energy Sources,legit,Explore how renewable energy is shaping the future of sustainability.,16.0,4316.0,430.0,3977.0
"PQJ""jlb##w(wsuPiv&cnm#F~?i[9I@,2]m.8JtdW]",legit,Learn the best strategies to grow and monetize your YouTube channel.,23.0,33041.0,7641.0,3436.0
Immediate Action Required to Avoid Penalties!,scam,Take immediate action to avoid penalties. Details at http://penalty-alert.com,18.0,31053.0,1679.0,
Top 5 Hacks to Make Money Online Instantly!,scam,Learn the fastest ways to make money online now!,22.0,85421.0,6402.0,151.0
