title,label,description,upload_hour,likes,dislikes,comments
cook pasta ten minutes,legit,No link available,20.0,29187.0,2101.0,4003.0
free iphone giveaway click,scam,http://scam-website.com,11.0,99399.0,9827.0,965.0
win brand new tesla enter,scam,http://tesla-giveaway.com,11.0,38331.0,3574.0,824.0
discover secrets success,legit,No link available,10.0,11243.0,801.0,8093.0
warning account compromised,scam,http://security-alert.com,21.0,47063.0,5698.0,5594.0
learn python programming beginner advanced,legit,No link available,0.0,36959.0,8379.0,7953.0
get rich quick simple trick,scam,http://fakeprofits.net,15.0,50424.0,5186.0,1901.0
five easy exercises healthier life,legit,No link available,13.0,49933.0,3630.0,100.0
click claim reward,scam,http://reward-link.com,19.0,67550.0,1317.0,8486.0
shocking discovery banks dont want know,scam,http://bank-secrets.com,15.0,53616.0,2958.0,5028.0
computer risk fix,scam,http://quickfix.com,2.0,12119.0,3144.0,5394.0
top ten travel destinations two thousand and twenty-four,legit,No link available,19.0,50424.0,5186.0,588.0
account deleted twenty-four hours,scam,http://urgentfix.net,22.0,22941.0,4162.0,2983.0
ten facts didnt know space,legit,No link available,4.0,99983.0,7338.0,4874.0
become python expert thirty days,legit,No link available,19.0,38801.0,491.0,4827.0
immediate action required secure funds,scam,http://safe-bank.com,10.0,87361.0,8806.0,2084.0
new ai technology changes everything,legit,No link available,8.0,6611.0,214.0,5200.0
congratulations youve one thousand gift card,scam,http://prizezone.net,16.0,13257.0,3977.0,7572.0
get brand new laptop free,scam,http://free-laptop.org,13.0,9984.0,6628.0,5855.0
understanding machine learning algorithms,legit,No link available,8.0,43485.0,3385.0,9585.0
win free gift card limited time,scam,http://freeswag.com,15.0,30821.0,2548.0,3645.0
master art public speaking,legit,No link available,4.0,2271.0,4982.0,6777.0
credit score danger click,scam,http://credit-fix.net,2.0,36694.0,3409.0,7696.0
exclusive offer double money instantly,scam,http://fast-doubles.com,14.0,18646.0,9629.0,9096.0
tips successful job interview,legit,No link available,18.0,93214.0,2674.0,9366.0
youve click claim reward,scam,http://you-win.com,21.0,50424.0,5186.0,1774.0
diy build treehouse backyard,legit,No link available,10.0,25501.0,5352.0,7215.0
instant approval five thousand loan,scam,http://loan-fast.net,19.0,64950.0,8054.0,6610.0
claim reward midnight,scam,http://midnight-prize.net,13.0,76875.0,159.0,7817.0
explore hidden wonders world,legit,No link available,1.0,29927.0,8171.0,3070.0
last chance claim prize,scam,http://finalchance.net,6.0,17206.0,1815.0,8762.0
unlock secret instant wealth,scam,http://wealth-secret.net,17.0,29863.0,6002.0,9889.0
watch video gets removed,scam,http://hidden-video.net,9.0,51073.0,2013.0,5650.0
upgrade skills tutorial,legit,No link available,14.0,7391.0,1099.0,5170.0
earn money sleep,scam,http://moneydream.net,17.0,13795.0,9803.0,686.0
understanding blockchain technology,legit,No link available,16.0,89292.0,8614.0,5394.0
earn ten thousand one day guaranteed,scam,http://quick-rich.com,2.0,6613.0,4953.0,6512.0
win big purchase required,scam,http://win-big.com,10.0,48504.0,1059.0,6757.0
secret investment opportunity revealed,scam,http://invest-secrets.com,21.0,18796.0,9364.0,9947.0
hurry limited time offer ends soon,scam,http://final-offer.com,17.0,4286.0,3485.0,5589.0
free money click find,scam,http://free-cash.info,21.0,50424.0,824.0,9905.0
selected special reward,scam,http://exclusive-reward.com,8.0,67220.0,409.0,9471.0
secret formula quick money revealed,scam,http://quick-money.net,16.0,39145.0,5717.0,6748.0
shocking discovery banks dont want know,scam,http://bank-secrets.com,14.0,21490.0,3802.0,9072.0
top five coding languages learn two thousand and twenty-four,legit,No link available,14.0,32551.0,4724.0,1766.0
exclusive crypto trading secrets revealed,scam,http://crypto-secrets.net,17.0,46531.0,7172.0,5394.0
upgrade skills tutorial,legit,No link available,15.0,79587.0,9696.0,7913.0
save money efficiently,legit,No link available,11.0,34810.0,2182.0,7997.0
earn passive income zero investment,scam,http://passive-wealth.net,7.0,36983.0,8692.0,7994.0
win free holiday package limited time,scam,http://freeholiday.net,9.0,44159.0,9297.0,6080.0
healthy recipes busy people,legit,No link available,2.0,17511.0,5343.0,7536.0
understanding cryptocurrency basics,legit,No link available,17.0,94479.0,7563.0,3679.0
act prize waiting,scam,http://exclusive-reward.com,9.0,35181.0,2316.0,7176.0
double investment overnight secret,scam,No link available,3.0,57452.0,1218.0,9112.0
improve mental health tips,legit,No link available,6.0,83142.0,4958.0,2606.0
master art public speaking,legit,No link available,9.0,34213.0,9737.0,1993.0
warning unauthorized login detected,scam,http://secure-login.com,2.0,43972.0,1968.0,8658.0
top ten cities visit summer,legit,No link available,13.0,86878.0,8673.0,7975.0
device compromised fix immediately,scam,http://secure-device.net,7.0,50424.0,5186.0,7073.0
last chance vip access millionaire club,scam,http://millionaire-club.com,17.0,50424.0,5186.0,9897.0
understanding blockchain technology,legit,No link available,16.0,77135.0,3549.0,1893.0
congratulations youve selected special gift,scam,http://special-gift.net,16.0,48557.0,9304.0,1807.0
understanding renewable energy sources,legit,No link available,16.0,4316.0,430.0,3977.0
immediate action required avoid penalties,scam,http://penalty-alert.com,18.0,31053.0,1679.0,5394.0
top five hacks make money online instantly,scam,No link available,22.0,85421.0,6402.0,151.0
claim five hundred bonus late,scam,http://bonus-now.com,13.0,96072.0,3470.0,2760.0
top five coding languages learn two thousand and twenty-four,legit,No link available,1.0,3658.0,1575.0,3177.0
ultimate fitness guide beginners,legit,No link available,4.0,50424.0,5215.0,9747.0
earn five thousand per week home skills needed,scam,http://work-from-home.com,16.0,11112.0,9333.0,4078.0
comprehensive guide digital marketing,legit,No link available,15.0,79544.0,5412.0,1912.0
shocking truth online banking watch,scam,http://banking-truth.net,13.0,49901.0,3174.0,1796.0
limited slots available reserve,scam,No link available,22.0,69216.0,5855.0,1071.0
explore hidden wonders world,legit,No link available,22.0,31284.0,2576.0,8191.0
best books read year,legit,No link available,2.0,74810.0,8229.0,9881.0
subscription suspended reactivate,scam,http://subscription-alert.com,11.0,39823.0,5186.0,2207.0
tips successful job interview,legit,No link available,5.0,14793.0,8665.0,5247.0
exclusive investment tips instant wealth,scam,No link available,2.0,8490.0,7146.0,7637.0
unboxing latest iphone model,legit,No link available,5.0,221.0,9047.0,7304.0
plan perfect vacation,legit,No link available,13.0,74337.0,6929.0,3196.0
top five skills need two thousand and twenty-four,legit,No link available,4.0,50424.0,5186.0,2038.0
password leaked update,scam,No link available,22.0,81967.0,2112.0,5640.0
ultimate guide healthy meal prep,legit,No link available,17.0,59694.0,3455.0,9529.0
act avoid account suspension,scam,No link available,18.0,86083.0,5186.0,2277.0
best practices learning new language,legit,No link available,6.0,10621.0,718.0,9242.0
unbelievable deal buy one get five free,scam,http://exclusive-deal.net,13.0,50424.0,7651.0,2866.0
rcurlturtae ntwaflosecf eesrseca eso hac,legit,No link available,15.0,97388.0,7635.0,2007.0
instant approval personal loans credit check,scam,No link available,10.0,7832.0,8528.0,8620.0
understanding basics cybersecurity,legit,No link available,22.0,10283.0,4639.0,9725.0
free gift ready shipment,scam,No link available,4.0,50424.0,5186.0,1144.0
tips effective time management,legit,No link available,7.0,38591.0,6994.0,9139.0
secure account simple step,scam,No link available,17.0,17898.0,2279.0,5394.0
introduction artificial intelligence basics,legit,No link available,22.0,89037.0,3769.0,4205.0
ten quick tips improve memory,legit,No link available,9.0,50424.0,8034.0,3749.0
hidden secrets get rich fast revealed,scam,No link available,1.0,30160.0,7206.0,171.0
beginners guide graphic design,legit,No link available,8.0,85461.0,118.0,3244.0
exploring future renewable energy,legit,No link available,1.0,50415.0,6948.0,2437.0
important update payment information,scam,No link available,13.0,34969.0,460.0,1844.0
simple steps improve public speaking skills,legit,No link available,23.0,88007.0,2070.0,6842.0
ten proven methods save money,legit,No link available,19.0,7329.0,8330.0,8916.0
immediate refund available click,scam,No link available,9.0,28900.0,5514.0,5394.0
learn fundamentals photography,legit,No link available,23.0,39131.0,7632.0,5394.0
write winning resume,legit,No link available,6.0,59025.0,7310.0,4605.0
win prizes worth ten thousand enter today,scam,http://win-prizes-now.com,12.0,44307.0,1132.0,306.0
master data science six months,legit,No link available,15.0,27027.0,5146.0,4332.0
exclusive opportunity boss,scam,No link available,4.0,91271.0,140.0,1178.0
learn guitar thirty days,legit,No link available,19.0,93565.0,283.0,2357.0
essential tools remote work success,legit,No link available,11.0,61760.0,5186.0,2287.0
top seven places visit europe year,legit,No link available,11.0,62482.0,3714.0,7316.0
shocking truth online banking watch,scam,No link available,16.0,98428.0,1611.0,5394.0
ultimate beginners guide yoga,legit,No link available,13.0,36743.0,9537.0,3311.0
click activate free gift,scam,No link available,5.0,50424.0,5186.0,338.0
simple habits productive day,legit,No link available,0.0,44468.0,7284.0,3243.0
act quickly claim reward today,scam,No link available,19.0,71454.0,8873.0,8905.0
understanding cryptocurrency wallets,legit,No link available,5.0,14135.0,4725.0,5850.0
congratulations youve surprise gift,scam,http://surprise-gift.net,3.0,41311.0,5221.0,5047.0
exploring depths ocean documentary,legit,No link available,20.0,72812.0,2325.0,1284.0
top three ways become millionaire,scam,No link available,0.0,60889.0,5186.0,8886.0
device risk fix instantly,scam,No link available,14.0,19135.0,1137.0,5040.0
free access exclusive content,scam,No link available,14.0,37166.0,5186.0,3080.0
urgent verify account immediately,scam,No link available,15.0,75834.0,6120.0,1141.0
earn five hundred day strategy,scam,No link available,0.0,93690.0,8354.0,5394.0
understanding basics personal finance,legit,No link available,21.0,49664.0,9179.0,4974.0
get exclusive access secret wealth tips,scam,No link available,10.0,39266.0,8806.0,4321.0
immediate action required account security,scam,No link available,4.0,24935.0,8789.0,5105.0
ten quick recipes busy weeknights,legit,No link available,0.0,72150.0,5803.0,7993.0
win luxury car one click,scam,http://luxurycar-win.net,15.0,20565.0,8836.0,7844.0
special offer unlock premium content free,scam,No link available,13.0,20458.0,6343.0,7223.0
build confidence social situations,legit,No link available,16.0,50424.0,8326.0,4992.0
attention account needs verification,scam,No link available,13.0,94338.0,5186.0,5478.0
limited slots instant wealth program,scam,No link available,19.0,50424.0,756.0,4553.0
free bitcoin giveaway claim,scam,No link available,0.0,90513.0,1081.0,9541.0
act fast slots left,scam,No link available,15.0,68106.0,647.0,4913.0
get instant approval personal loan,scam,No link available,14.0,36264.0,8813.0,5394.0
learn ethical hacking step step,legit,No link available,14.0,33179.0,4390.0,9511.0
secure future one trick,scam,No link available,20.0,44328.0,3927.0,9663.0
last chance claim prize,scam,No link available,20.0,51483.0,7264.0,5394.0
easy diy projects home,legit,No link available,4.0,20442.0,5909.0,8731.0
alert suspicious activity detected account,scam,No link available,6.0,2617.0,4271.0,4494.0
limited time get free bonus,scam,No link available,10.0,50424.0,5186.0,4410.0
double investment overnight,scam,No link available,16.0,73482.0,5788.0,5394.0
shocking discovery online earnings,scam,No link available,6.0,50336.0,684.0,5778.0
uncover hidden investment secrets,scam,No link available,13.0,1340.0,7624.0,2712.0
